n.id,n.firstname,n.lastname,n.birthyear,n.deathyear,n.birthplace,n.deathplace,n.sex,n.numCities,n.numCountries,n.numVenues,n.country,n.collective,n.ulan,n.wikidata
"90,""""""Mstislav"""""",""""""Dobuzhinsky"""""",1875,1957,""""""Velikiy Novgorod"""""",""""""New York"""""",""""""M"""""",4,4,4,""""""RU"""""",null,""""""500120586"""""",""""""Q972018"""""""
"91,""""""Henri"""""",""""""Doucet"""""",1883,1915,""""""Pleumartin"""""",""""""Hooge"""""",""""""M"""""",6,5,4,""""""FR"""""",null,""""""500046918"""""",""""""Q1605814"""""""
"92,""""""Arthur Garfield"""""",""""""Dove"""""",1880,1946,""""""Canandaigua"""""",""""""Long Island"""""",""""""M"""""",null,null,null,""""""US"""""",null,""""""500018046"""""",""""""Q709461"""""""
"93,""""""Malcolm"""""",""""""Drummond"""""",1880,1945,""""""Boyn Hill"""""",""""""Moulsford"""""",""""""M"""""",2,1,5,""""""GB"""""",null,""""""500016786"""""",""""""Q4167670"""""""
"94,""""""Guy Pène"""""",""""""Du Bois"""""",1884,1958,""""""Brooklyn"""""",""""""Boston"""""",""""""M"""""",null,null,null,""""""US"""""",null,""""""500120494"""""",""""""Q5622550"""""""
"95,""""""Marcel"""""",""""""Duchamp"""""",1887,1968,""""""Blainville-Crevon"""""",""""""Neuilly-sur-Seine"""""",""""""M"""""",3,2,4,""""""FR"""""",null,""""""500115393"""""",""""""Q5912"""""""
"96,""""""Raymond"""""",""""""Duchamp-Villon"""""",1876,1918,""""""Damville"""""",""""""Cannes"""""",""""""M"""""",1,1,1,""""""FR"""""",null,""""""500029284"""""",""""""Q705282"""""""
"97,""""""Raoul"""""",""""""Dufy"""""",1877,1953,""""""Le Havre"""""",""""""Forcalquier"""""",""""""M"""""",5,4,9,""""""FR"""""",null,""""""500024166"""""",""""""Q45205"""""""
"98,""""""André"""""",""""""Dunoyer de Segonzac"""""",1884,1974,""""""Boussy-Saint-Antoine"""""",""""""Paris"""""",""""""M"""""",3,2,6,""""""FR"""""",null,""""""500024152"""""",""""""Q518406"""""""
"99,""""""Leander"""""",""""""Engström"""""",1886,1927,""""""Ytterhogdal"""""",""""""Stockholm"""""",""""""M"""""",1,1,1,""""""SE"""""",null,""""""500104590"""""",""""""Q5713109"""""""
"100,""""""James"""""",""""""Ensor"""""",1860,1949,""""""Ostend"""""",""""""Ostend"""""",""""""M"""""",3,3,3,""""""BE"""""",null,""""""500032046"""""",""""""Q158840"""""""
